,Actual,Predicted
0,0.477,0.7256346156568512
1,0.458,1.766502227181654
2,5.00001,2.7054581241071034
3,2.186,2.8332541628257815
4,2.78,2.604101346412456
5,1.587,2.0104606012990445
6,1.982,2.6361338806831185
7,1.575,2.16372512547845
8,3.4,2.7395805756179925
9,4.466,3.8951154392458847
10,1.232,0.9412123545678099
11,2.539,1.89916260466876
12,2.151,1.7660555354755445
13,2.205,2.2542555968728095
14,2.198,2.5351462783323626
15,1.362,1.9239334732939
16,1.784,2.382819533923886
17,1.875,2.0087309512899765
18,1.398,2.2211370145292193
19,1.375,1.1245336499075052
20,4.25,2.9280215063636064
21,4.056,2.6512259993209426
22,1.388,1.8779853943078777
23,5.00001,3.346016034011356
24,1.621,2.241885649431893
25,0.514,0.9056359731143289
26,1.513,1.8478213740166751
27,0.948,1.640247417767469
28,2.041,1.922340875666805
29,3.615,3.2421622847290053
30,0.851,1.5763099308999742
31,1.384,1.1298822181144672
32,1.375,2.0560691754624614
33,4.65,3.6769565385172243
34,2.718,2.412935204823704
35,2.394,2.5560936188860524
36,3.409,2.7927598627734795
37,1.504,1.8525339078520702
38,1.281,1.0820389668678345
39,1.56,1.8488874326281177
40,2.581,3.09239733294055
41,0.905,1.424051617911502
42,0.713,1.0480658411149122
43,2.197,2.060069283351865
44,1.51,1.7603238605299225
45,2.901,1.8973604842610996
46,1.42,2.0122943238899325
47,2.915,1.8425166312164052
48,2.554,2.0673185329935038
49,0.981,1.4504027323206898
50,2.519,2.4050693083383834
51,1.621,1.7269154532946587
52,1.294,1.8687944917734427
53,0.894,0.7337011351662142
54,1.505,1.8771780890640812
55,1.338,2.0856364545114374
56,0.804,0.8515818867961329
57,2.111,2.4556658198760175
58,2.556,2.486166966294313
59,2.145,2.1878089825770815
60,5.00001,2.5313082039245174
61,2.021,1.873854182914016
62,0.815,1.1280451820798163
63,0.988,1.305879569812447
64,2.819,2.9776425488589098
65,1.846,2.183901516539329
66,2.547,1.7926260013981334
67,1.431,1.9503050749699042
68,1.625,1.571741211076585
69,1.426,1.722097712546642
70,0.859,0.2030956593886799
71,1.869,2.6906360512715892
72,0.713,1.2437001058968349
73,1.744,1.9534718752350173
74,2.25,2.190511020001665
75,1.465,2.0125664896746613
76,4.05,3.3211789255222897
77,1.896,2.077389232044389
78,1.644,2.4007223333361196
79,3.375,1.8338258039405773
80,0.725,0.7737967641513848
81,1.438,1.6131258201176806
82,1.6,1.592664510673167
83,1.181,1.3785685546165638
84,3.74,3.432037202104297
85,2.027,2.4550338890372956
86,0.966,1.5046842106987626
87,0.658,0.7977514886627546
88,1.674,1.6137430711233733
89,1.798,1.9374507473790885
90,0.967,1.887526858805856
91,2.661,2.412401941787067
92,0.911,1.6231609476394766
93,0.498,0.766838937135006
94,0.907,0.9813795212920766
95,1.158,1.4935072328888097
96,2.786,2.6787143436248897
97,2.5,1.6583866354880996
98,0.85,1.8163335154924454
99,1.77,2.1165356254678116
100,0.997,1.5176373773701357
101,3.576,4.07880825765514
102,4.75,2.6180245122570014
103,2.736,3.018323256147994
104,1.824,2.2068190678687714
105,1.578,1.8581198495516347
106,1.938,1.6413353221702067
107,3.336,2.811433740256284
108,2.646,2.363341339809324
109,0.584,1.2361439228655726
110,1.734,1.9377245990197594
111,2.148,2.5093625324235944
112,2.0,4.917136938926504
113,4.228,3.658832866395663
114,0.936,1.4650268013591656
115,1.222,2.0557617124484437
116,1.676,2.110808217480212
117,3.036,2.3075818407833992
118,2.693,2.4447151750006313
119,2.644,2.30661900127312
120,1.91,1.7525406616811878
121,1.538,2.204942579216727
122,2.755,2.9750243891486363
123,2.088,1.5909028046811073
124,1.423,1.648052305215316
125,0.635,1.1243416280544878
126,0.958,0.7688544544635363
127,2.317,1.9379442222599792
128,2.215,1.998342339914366
129,0.895,1.4752975774070975
130,2.26,2.701405088626096
131,5.00001,6.75581717112366
132,2.702,2.859466800096712
133,0.596,1.185876533175815
134,1.933,2.036402967335178
135,1.336,1.294903785898157
136,1.619,2.5766951023572275
137,3.575,2.452950527052913
138,2.765,2.266851872365038
139,4.107,2.699551072493861
140,3.75,1.6737769330155885
141,1.352,1.6808157362581682
142,1.672,1.79001640614824
143,2.52,1.8391695164518325
144,3.084,3.814831189842508
145,1.721,1.6055118595656879
146,5.00001,3.3981998169274306
147,1.938,1.7281901690214667
148,1.052,0.47284630993166843
149,0.908,1.1775649033494844
150,1.688,1.5107495476152977
